item_name,kind_name,rank,unit,day1,dpr1,item_code,rank_code,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7
쌀,20kg(1kg),상품,20kg,당일 (07/26),"2,547",111,04,1일전 (07/25),"2,619",1주일전 (07/19),"2,619",2주일전 (07/12),"2,593",1개월전,"2,646",1년전,"2,515",일평년,"2,574"
찹쌀,일반계(1kg),상품,1kg,당일 (07/26),"4,003",112,04,1일전 (07/25),"3,967",1주일전 (07/19),"4,058",2주일전 (07/12),"3,802",1개월전,"4,209",1년전,"3,514",일평년,"4,118"
콩,흰 콩(국산)(1kg),상품,500g,당일 (07/26),"10,606",141,04,1일전 (07/25),"10,606",1주일전 (07/19),"10,606",2주일전 (07/12),"10,620",1개월전,"10,620",1년전,"10,894",일평년,"11,125"
팥,붉은 팥(국산)(1kg),상품,500g,당일 (07/26),"20,862",142,04,1일전 (07/25),"20,862",1주일전 (07/19),"20,862",2주일전 (07/12),"20,862",1개월전,"20,129",1년전,"15,082",일평년,"16,111"
녹두,국산(1kg),상품,500g,당일 (07/26),"21,960",143,04,1일전 (07/25),"21,131",1주일전 (07/19),"22,531",2주일전 (07/12),"22,846",1개월전,"25,523",1년전,"21,554",일평년,"19,684"
고구마,밤(1kg),상품,1kg,당일 (07/26),"6,181",151,04,1일전 (07/25),"6,348",1주일전 (07/19),"5,378",2주일전 (07/12),"5,774",1개월전,"5,788",1년전,"5,845",일평년,"6,825"
감자,수미(노지)(1kg),상품,100g,당일 (07/26),"3,000",152,04,1일전 (07/25),"2,842",1주일전 (07/19),"2,926",2주일전 (07/12),"2,753",1개월전,"3,158",1년전,"3,872",일평년,"3,171"
메밀,메밀(수입)(1kg),중품,1kg,당일 (07/26),"3,100",144,05,1일전 (07/25),"3,100",1주일전 (07/19),"3,150",2주일전 (07/12),"3,150",1개월전,"3,000",1년전,"4,000",일평년,"3,420"
배추,여름(고랭지)(1포기),상품,1포기,당일 (07/26),"5,601",211,04,1일전 (07/25),"5,551",1주일전 (07/19),-,2주일전 (07/12),-,1개월전,-,1년전,"4,184",일평년,"4,674"
고랭지배추,여름(고랭지)(1포기),상품,1포기,당일 (07/26),"5,601",211,04,1일전 (07/25),"5,551",1주일전 (07/19),-,2주일전 (07/12),-,1개월전,-,1년전,"4,184",일평년,"4,674"
